vlog -sv async_fifo.sv fifo_seq_item.sv fifo_agent_pkg.sv fifo_scoreboard.sv
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:28:17 on May 22,2025
# vlog -reportprogress 300 -sv async_fifo.sv fifo_seq_item.sv fifo_agent_pkg.sv fifo_scoreboard.sv 
# -- Compiling module async_fifo
# ** Note: (vlog-2286) fifo_seq_item.sv(1): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# -- Compiling package fifo_seq_item_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Compiling package fifo_agent_pkg
# -- Importing package fifo_seq_item_sv_unit
# -- Compiling package fifo_scoreboard_sv_unit
# -- Importing package fifo_seq_item_sv_unit
# 
# Top level modules:
# 	async_fifo
# End time: 22:28:18 on May 22,2025, Elapsed time: 0:00:01
# Errors: 0, Warnings: 0
vlog -sv -mfcu async_fifo_if.sv fifo_sequences.sv fifo_env.sv fifo_test.sv fifo_tb_top.sv
# QuestaSim-64 vlog 2021.3_1 Compiler 2021.08 Aug 15 2021
# Start time: 22:28:19 on May 22,2025
# vlog -reportprogress 300 -sv -mfcu async_fifo_if.sv fifo_sequences.sv fifo_env.sv fifo_test.sv fifo_tb_top.sv 
# -- Compiling interface async_fifo_if
# ** Note: (vlog-2286) fifo_sequences.sv(1): Using implicit +incdir+/pkgs/mentor/questa/2021.3_1/questasim/uvm-1.1d/../verilog_src/uvm-1.1d/src from import uvm_pkg
# ** Warning: fifo_sequences.sv(2): (vlog-13233) Design unit "async_fifo_if_sv_unit" already exists and will be overwritten. Overwriting SystemVerilog $unit with different source files.
# -- Compiling package async_fifo_if_sv_unit
# -- Importing package mtiUvm.uvm_pkg (uvm-1.1d Built-in)
# -- Importing package fifo_seq_item_sv_unit
# -- Importing package fifo_agent_pkg
# -- Importing package fifo_scoreboard_sv_unit
# -- Compiling module fifo_tb_top
# 
# Top level modules:
# 	fifo_tb_top
# End time: 22:28:20 on May 22,2025, Elapsed time: 0:00:01
# Errors: 0, Warnings: 1
vsim -voptargs=+acc -L mtiUvm work.fifo_tb_top +UVM_TESTNAME=fifo_test -sv_seed  random -do "run -all"
# UVM_INFO fifo_scoreboard.sv(62) @ 2666: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4f4396fd
# UVM_INFO fifo_scoreboard.sv(62) @ 2674: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4f4396fd
# UVM_INFO fifo_scoreboard.sv(62) @ 2682: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfe9d2ea5
# UVM_INFO fifo_scoreboard.sv(62) @ 2690: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfe9d2ea5
# UVM_INFO fifo_scoreboard.sv(62) @ 2698: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd365f7a4
# UVM_INFO fifo_scoreboard.sv(62) @ 2706: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd365f7a4
# UVM_INFO fifo_scoreboard.sv(62) @ 2714: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x2ff7ddb6
# UVM_INFO fifo_scoreboard.sv(62) @ 2722: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x2ff7ddb6
# UVM_INFO fifo_scoreboard.sv(62) @ 2730: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5ae9316d
# UVM_INFO fifo_scoreboard.sv(62) @ 2738: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5ae9316d
# UVM_INFO fifo_scoreboard.sv(62) @ 2746: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xbf24a779
# UVM_INFO fifo_scoreboard.sv(62) @ 2754: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xbf24a779
# UVM_INFO fifo_scoreboard.sv(62) @ 2762: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x6eb1d902
# UVM_INFO fifo_scoreboard.sv(62) @ 2770: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x6eb1d902
# UVM_INFO fifo_scoreboard.sv(62) @ 2778: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa5aca253
# UVM_INFO fifo_scoreboard.sv(62) @ 2786: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa5aca253
# UVM_INFO fifo_scoreboard.sv(62) @ 2794: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x7b58aeac
# UVM_INFO fifo_scoreboard.sv(62) @ 2802: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x7b58aeac
# UVM_INFO fifo_scoreboard.sv(62) @ 2810: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xaab2cdf5
# UVM_INFO fifo_scoreboard.sv(62) @ 2818: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xaab2cdf5
# UVM_INFO fifo_scoreboard.sv(62) @ 2826: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1c98f781
# UVM_INFO fifo_scoreboard.sv(62) @ 2834: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1c98f781
# UVM_INFO fifo_scoreboard.sv(62) @ 2842: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xb5e07e39
# UVM_INFO fifo_scoreboard.sv(62) @ 2850: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xb5e07e39
# UVM_INFO fifo_scoreboard.sv(62) @ 2858: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfa57d2e0
# UVM_INFO fifo_scoreboard.sv(62) @ 2866: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xfa57d2e0
# UVM_INFO fifo_scoreboard.sv(62) @ 2874: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcec142d1
# UVM_INFO fifo_scoreboard.sv(62) @ 2882: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xcec142d1
# UVM_INFO fifo_scoreboard.sv(62) @ 2890: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x53e698a8
# UVM_INFO fifo_scoreboard.sv(62) @ 2898: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x53e698a8
# UVM_INFO fifo_scoreboard.sv(62) @ 2906: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1030b3ba
# UVM_INFO fifo_scoreboard.sv(62) @ 2914: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x1030b3ba
# UVM_INFO fifo_scoreboard.sv(62) @ 2922: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5764ac87
# UVM_INFO fifo_scoreboard.sv(62) @ 2930: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x5764ac87
# UVM_INFO fifo_scoreboard.sv(62) @ 2938: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xe5993200
# UVM_INFO fifo_scoreboard.sv(62) @ 2946: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xe5993200
# UVM_INFO fifo_scoreboard.sv(62) @ 2954: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x40f9fd68
# UVM_INFO fifo_scoreboard.sv(62) @ 2962: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x40f9fd68
# UVM_INFO fifo_scoreboard.sv(62) @ 2970: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x76ec414d
# UVM_INFO fifo_scoreboard.sv(62) @ 2978: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x76ec414d
# UVM_INFO fifo_scoreboard.sv(62) @ 2986: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa88f1402
# UVM_INFO fifo_scoreboard.sv(62) @ 2994: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa88f1402
# UVM_INFO fifo_scoreboard.sv(62) @ 3002: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xaed2441f
# UVM_INFO fifo_scoreboard.sv(62) @ 3010: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xaed2441f
# UVM_INFO fifo_scoreboard.sv(62) @ 3018: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa21c99a
# UVM_INFO fifo_scoreboard.sv(62) @ 3026: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xa21c99a
# UVM_INFO fifo_scoreboard.sv(62) @ 3034: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x79de5d56
# UVM_INFO fifo_scoreboard.sv(62) @ 3042: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x79de5d56
# UVM_INFO fifo_scoreboard.sv(62) @ 3050: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3b8cddde
# UVM_INFO fifo_scoreboard.sv(62) @ 3058: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3b8cddde
# UVM_INFO fifo_scoreboard.sv(62) @ 3066: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd7ac6a5f
# UVM_INFO fifo_scoreboard.sv(62) @ 3074: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd7ac6a5f
# UVM_INFO fifo_scoreboard.sv(62) @ 3082: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x9c3f2ad6
# UVM_INFO fifo_scoreboard.sv(62) @ 3090: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x9c3f2ad6
# UVM_INFO fifo_scoreboard.sv(62) @ 3098: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x567f808d
# UVM_INFO fifo_scoreboard.sv(62) @ 3106: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x567f808d
# UVM_INFO fifo_scoreboard.sv(62) @ 3114: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4c2597c4
# UVM_INFO fifo_scoreboard.sv(62) @ 3122: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x4c2597c4
# UVM_INFO fifo_scoreboard.sv(62) @ 3130: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x14481389
# UVM_INFO fifo_scoreboard.sv(62) @ 3138: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x14481389
# UVM_INFO fifo_scoreboard.sv(62) @ 3146: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x924a4033
# UVM_INFO fifo_scoreboard.sv(62) @ 3154: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x924a4033
# UVM_INFO fifo_scoreboard.sv(62) @ 3162: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x69be0817
# UVM_INFO fifo_scoreboard.sv(62) @ 3170: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x69be0817
# UVM_INFO fifo_scoreboard.sv(62) @ 3178: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x560d8082
# UVM_INFO fifo_scoreboard.sv(62) @ 3186: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x560d8082
# UVM_INFO fifo_scoreboard.sv(62) @ 3194: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xca7210a4
# UVM_INFO fifo_scoreboard.sv(62) @ 3202: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xca7210a4
# UVM_INFO fifo_scoreboard.sv(62) @ 3210: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x50ef6106
# UVM_INFO fifo_scoreboard.sv(62) @ 3218: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x50ef6106
# UVM_INFO fifo_scoreboard.sv(62) @ 3226: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xedc30e29
# UVM_INFO fifo_scoreboard.sv(62) @ 3234: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xedc30e29
# UVM_INFO fifo_scoreboard.sv(62) @ 3242: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x40279eef
# UVM_INFO fifo_scoreboard.sv(62) @ 3250: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x40279eef
# UVM_INFO fifo_scoreboard.sv(62) @ 3258: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x63aa8377
# UVM_INFO fifo_scoreboard.sv(62) @ 3266: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x63aa8377
# UVM_INFO fifo_scoreboard.sv(62) @ 3274: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3192827c
# UVM_INFO fifo_scoreboard.sv(62) @ 3282: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x3192827c
# UVM_INFO fifo_scoreboard.sv(62) @ 3290: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd325b65f
# UVM_INFO fifo_scoreboard.sv(62) @ 3298: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xd325b65f
# UVM_INFO fifo_scoreboard.sv(62) @ 3306: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc61e9b30
# UVM_INFO fifo_scoreboard.sv(62) @ 3314: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0xc61e9b30
# UVM_INFO fifo_scoreboard.sv(62) @ 3322: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x2ec47da3
# UVM_INFO fifo_scoreboard.sv(62) @ 3330: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x2ec47da3
# UVM_INFO fifo_scoreboard.sv(62) @ 3338: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x46884c7c
# UVM_INFO fifo_scoreboard.sv(62) @ 3346: uvm_test_top.env.sb [fifo_scoreboard] Match OK: 0x46884c7c
